Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
114.0,4.5,13.0,6.1,34.7,5.6,1.5,Bessemer Steel,0.8
57.0,7.3,17.8,7.6,11.7,15.8,1.5,Bessemer Steel,2.3
29.88,7.36,46.53,17.0,20.98,18.44,2.89,Bessemer Steel,4.72
4.89,7.5,54.4,3.95,5.7,70.4,1.5,Bessemer Steel,3.17
66.72,5.64,22.19,12.0,6.88,17.73,2.98,Bessemer Steel,6.88
12.7,4.2,34.5,8.72,26.6,71.2,1.5,Open Hearth iron,14.98
12.38,6.79,67.52,10.6,31.94,45.01,3.0,Open Hearth iron,10.51
2.71,9.35,24.83,8.2,6.11,6.24,2.88,Bessemer Steel,19.03
20.6,7.3,18.0,9.43,10.9,26.0,1.5,Open Hearth iron,2.12
49.03,6.74,23.34,10.3,14.72,35.13,1.66,Wrought Iron,4.83
112.0,3.8,7.0,11.88,3.5,4.5,1.5,Bessemer Steel,8.73
82.9,4.4,22.2,4.0,12.0,26.5,1.5,Wrought Iron,3.9
51.5,4.9,28.4,10.53,9.6,22.3,1.5,Bessemer Steel,6.7
386.0,4.5,3.0,5.09,32.1,2.6,3.0,Bessemer Steel,0.91
205.0,4.7,2.8,14.03,38.1,0.6,1.5,Open Hearth iron,3.61
6.62,8.54,28.98,3.05,5.9,23.53,1.5,Bessemer Steel,4.01
57.06,7.5,17.78,3.7,11.67,15.66,3.14,Open Hearth iron,1.38
110.0,5.3,32.0,7.6,15.5,53.1,1.5,Open Hearth iron,1.01
31.9,7.1,12.4,4.1,33.5,12.8,3.0,Bessemer Steel,1.3
21.2,4.4,34.3,16.9,3.7,63.6,1.5,Open Hearth iron,7.6
177.9,4.8,29.1,13.34,18.2,46.1,3.0,Wrought Iron,3.54
27.18,7.0,51.27,5.19,25.27,34.3,3.0,Open Hearth iron,1.65
6.93,7.36,37.74,12.1,2.19,44.87,2.94,Wrought Iron,6.43
114.0,4.5,13.0,16.51,34.7,5.6,1.5,Open Hearth iron,1.3
4.08,6.8,24.6,5.6,2.5,62.6,1.5,Wrought Iron,9.3
17.77,7.63,25.67,6.0,2.67,46.15,3.04,Bessemer Steel,2.24
114.0,4.5,13.0,12.0,34.7,5.6,3.0,Wrought Iron,1.2
31.88,7.15,12.35,6.2,33.4,12.77,2.92,Wrought Iron,3.31
18.29,6.93,37.96,6.33,9.55,45.42,3.0,Bessemer Steel,3.54
17.8,7.2,25.8,6.57,9.5,36.0,1.5,Bessemer Steel,1.95
6.82,7.32,37.78,17.7,1.92,44.97,3.14,Bessemer Steel,7.19
112.0,3.8,7.0,6.2,3.5,4.5,3.0,Open Hearth iron,4.39
60.04,4.42,30.7,7.7,4.61,51.58,3.06,Bessemer Steel,7.38
12.28,6.74,28.55,3.6,1.23,52.37,2.93,Bessemer Steel,4.18
8.0,6.8,72.8,11.7,34.0,46.2,3.0,Open Hearth iron,11.6
48.27,5.78,36.49,8.92,9.2,45.99,3.0,Bessemer Steel,6.42
15.02,7.04,7.58,4.0,23.35,30.94,3.08,Wrought Iron,2.38
82.9,4.4,22.2,7.9,12.0,26.5,1.5,Wrought Iron,5.0
18.0,8.25,16.86,10.02,33.98,11.17,1.5,Bessemer Steel,4.55
28.9,7.5,22.4,3.6,3.8,36.3,3.0,Bessemer Steel,2.1
12.15,7.0,28.6,5.68,1.1,52.5,3.0,Bessemer Steel,5.29
49.0,6.7,23.4,8.0,14.7,35.1,1.5,Open Hearth iron,3.0
14.02,7.2,27.62,6.42,1.61,50.34,3.0,Open Hearth iron,2.98
28.8,7.45,22.45,3.7,3.83,36.44,1.42,Wrought Iron,2.57
111.94,3.75,6.96,6.1,3.28,4.51,2.96,Open Hearth iron,4.25
110.08,5.45,32.02,7.7,15.64,53.24,2.97,Open Hearth iron,1.22
12.32,7.0,28.64,11.5,1.14,52.36,2.93,Open Hearth iron,9.55
109.94,5.51,31.98,4.0,15.47,53.22,1.42,Wrought Iron,1.09
0.6,3.1,55.4,4.1,68.9,65.0,3.0,Wrought Iron,4.7
12.74,4.12,34.34,4.0,26.55,71.32,2.86,Open Hearth iron,7.27
136.92,4.66,34.91,4.0,14.71,46.08,2.94,Wrought Iron,4.72
51.5,4.9,28.4,9.6,9.6,22.3,1.5,Wrought Iron,7.0
1.3,7.0,29.4,5.7,7.2,32.4,3.0,Open Hearth iron,2.7
112.0,4.5,13.8,2.56,16.0,17.6,1.5,Wrought Iron,1.41
23.7,6.2,31.2,2.87,10.8,30.9,3.0,Bessemer Steel,2.49
137.0,4.7,34.8,8.0,14.9,45.8,3.0,Bessemer Steel,6.7
5.7,3.7,42.6,11.45,1.9,87.8,1.5,Open Hearth iron,6.76
59.8,4.5,30.8,4.96,4.4,51.7,3.0,Bessemer Steel,4.93
4.17,6.9,24.5,5.6,2.56,62.76,1.45,Bessemer Steel,10.64
31.9,7.1,12.4,12.1,33.5,12.8,1.5,Bessemer Steel,3.9
21.2,4.4,34.3,16.84,3.7,63.6,1.5,Bessemer Steel,6.34
12.7,4.2,34.5,8.39,26.6,71.2,3.0,Wrought Iron,11.69
12.15,7.0,28.6,11.41,1.1,52.5,1.5,Open Hearth iron,8.83
28.9,7.5,22.4,3.69,3.8,36.3,3.0,Bessemer Steel,2.13
20.6,7.3,18.0,5.37,10.9,26.0,3.0,Open Hearth iron,1.21
137.0,4.69,34.88,2.0,14.79,45.89,1.32,Bessemer Steel,3.15
10.0,8.8,31.2,1.1,7.2,31.2,1.5,Wrought Iron,0.6
28.9,7.5,22.4,11.6,3.8,36.3,3.0,Open Hearth iron,6.1
177.28,4.81,29.13,2.06,18.14,46.1,1.5,Bessemer Steel,2.02
2.65,7.39,14.81,1.1,18.69,26.64,1.4,Open Hearth iron,1.23
431.0,5.9,12.2,16.51,40.6,7.2,1.5,Wrought Iron,1.53
74.6,6.6,13.0,5.53,27.8,6.6,3.0,Wrought Iron,2.94
20.6,7.3,18.0,4.15,10.9,26.0,3.0,Bessemer Steel,1.88
74.6,6.6,13.0,5.87,27.8,6.6,1.5,Open Hearth iron,3.18
57.0,7.3,17.8,2.87,11.7,15.8,3.0,Wrought Iron,1.06
2.63,7.4,14.8,4.97,18.7,26.7,3.0,Open Hearth iron,3.14
2.78,9.4,24.7,8.81,6.1,6.2,1.5,Open Hearth iron,18.68
82.84,4.38,22.12,12.2,11.94,26.51,3.06,Bessemer Steel,7.53
13.2,5.3,33.1,7.59,6.9,40.3,1.5,Open Hearth iron,4.77
5.16,7.4,54.19,2.0,5.62,70.53,3.07,Wrought Iron,2.11
74.62,6.5,13.14,1.3,27.95,6.47,2.98,Bessemer Steel,1.39
9.7,6.0,33.0,6.03,2.3,47.1,3.0,Bessemer Steel,6.13
431.0,5.9,12.2,4.1,40.6,7.2,3.0,Open Hearth iron,0.7
59.8,4.5,30.8,11.8,4.4,51.7,1.5,Open Hearth iron,9.4
6.85,7.37,37.62,12.0,1.91,44.79,3.01,Open Hearth iron,5.44
33.44,6.28,19.36,11.23,13.89,17.18,3.0,Bessemer Steel,4.49
386.0,4.5,3.0,6.1,32.1,2.6,1.5,Wrought Iron,0.8
51.61,4.68,28.6,11.5,9.53,22.39,1.51,Wrought Iron,7.05
57.07,7.18,17.81,7.7,11.67,15.8,2.97,Bessemer Steel,2.47
177.9,4.8,29.1,7.9,18.2,46.1,3.0,Bessemer Steel,4.5
12.15,7.0,28.6,7.7,1.1,52.5,1.5,Bessemer Steel,6.6
49.13,6.68,23.6,1.4,14.72,35.21,1.61,Wrought Iron,1.41
12.23,7.01,28.65,5.4,1.11,52.68,3.04,Wrought Iron,5.4
1.3,7.0,29.4,13.09,7.2,32.4,1.5,Wrought Iron,5.68
431.0,5.9,12.2,2.42,40.6,7.2,3.0,Wrought Iron,0.19
31.49,7.04,30.63,9.15,11.15,17.88,1.5,Bessemer Steel,4.06
17.8,7.2,25.8,3.7,9.5,36.0,3.0,Wrought Iron,0.7
21.2,4.4,34.3,3.24,3.7,63.6,1.5,Open Hearth iron,2.21
8.0,6.8,72.8,9.7,34.0,46.2,3.0,Open Hearth iron,9.9
177.9,4.8,29.1,6.05,18.2,46.1,3.0,Bessemer Steel,3.67
13.2,5.3,33.1,6.18,6.9,40.3,3.0,Open Hearth iron,3.66
67.62,3.89,45.28,6.56,42.37,55.57,3.0,Bessemer Steel,6.57
4.89,7.5,54.4,12.0,5.7,70.4,1.5,Bessemer Steel,7.8
386.0,4.5,3.0,4.38,32.1,2.6,3.0,Wrought Iron,0.61
29.8,7.3,46.4,1.3,20.9,18.6,3.0,Open Hearth iron,0.93
20.67,7.38,17.88,6.0,10.81,25.93,1.55,Bessemer Steel,1.03
17.7,7.6,25.7,12.51,2.6,46.1,3.0,Open Hearth iron,3.29
13.2,5.27,33.01,6.2,6.94,40.21,1.46,Bessemer Steel,4.29
431.0,5.9,12.2,10.71,40.6,7.2,3.0,Open Hearth iron,1.0
65.83,6.64,15.23,4.25,25.53,15.2,1.5,Wrought Iron,2.11
51.5,4.9,28.4,7.6,9.6,22.3,1.5,Open Hearth iron,5.7
56.88,7.34,17.89,9.5,11.61,15.67,1.39,Wrought Iron,3.1
2.78,9.4,24.7,7.03,6.1,6.2,1.5,Bessemer Steel,17.04
7.79,6.79,72.85,3.7,33.9,46.13,2.97,Wrought Iron,3.67
5.7,3.7,42.6,2.0,1.9,87.8,3.0,Bessemer Steel,0.6
74.32,5.71,24.13,10.0,7.6,15.34,1.69,Wrought Iron,5.21
8.0,6.8,72.8,3.7,34.0,46.2,3.0,Bessemer Steel,3.6
29.59,7.22,46.52,16.9,20.95,18.73,1.62,Wrought Iron,5.12
0.6,3.1,55.4,9.58,68.9,65.0,1.5,Open Hearth iron,11.19
17.7,7.6,25.7,6.1,2.6,46.1,1.5,Wrought Iron,1.5
20.6,7.3,18.0,12.1,10.9,26.0,1.5,Open Hearth iron,1.6
19.47,7.08,29.08,4.79,13.31,58.41,3.0,Open Hearth iron,3.16
29.8,7.3,46.4,1.0,20.9,18.6,1.5,Bessemer Steel,0.8
7.95,6.85,72.72,11.7,34.06,46.25,1.37,Open Hearth iron,14.21
205.0,4.7,2.8,11.42,38.1,0.6,1.5,Open Hearth iron,2.74
1.33,6.86,29.5,17.1,7.32,32.33,1.39,Open Hearth iron,6.0
17.7,7.6,25.7,1.5,2.6,46.1,3.0,Open Hearth iron,0.6
2.68,9.36,24.56,8.1,5.9,6.12,1.55,Wrought Iron,20.47
17.76,7.04,25.75,1.1,9.46,36.06,2.95,Bessemer Steel,0.3
12.15,7.0,28.6,8.47,1.1,52.5,1.5,Open Hearth iron,6.26
15.0,7.0,7.6,8.54,23.2,30.9,1.5,Wrought Iron,5.83
13.15,5.37,32.98,8.0,6.98,40.24,1.49,Open Hearth iron,4.78
13.15,7.0,28.8,6.2,4.9,35.8,3.0,Open Hearth iron,3.9
2.18,2.6,43.4,13.83,33.2,46.2,1.5,Bessemer Steel,27.69
9.71,6.11,32.87,4.2,2.22,47.23,1.47,Wrought Iron,4.31
12.15,7.0,28.6,3.6,1.1,52.5,3.0,Wrought Iron,4.2
31.9,7.1,12.4,12.02,33.5,12.8,1.5,Bessemer Steel,3.89
49.0,6.7,23.4,8.2,14.7,35.1,3.0,Open Hearth iron,3.27
10.0,8.8,31.2,1.1,7.2,31.2,1.5,Open Hearth iron,0.3
17.87,7.53,25.76,4.2,2.61,46.22,1.43,Bessemer Steel,1.46
4.08,6.8,24.6,9.0,2.5,62.6,1.5,Open Hearth iron,15.7
8.0,6.8,72.8,5.68,34.0,46.2,1.5,Bessemer Steel,5.48
110.0,5.3,32.0,3.08,15.5,53.1,3.0,Open Hearth iron,0.72
19.7,4.6,28.4,7.6,3.9,34.2,3.0,Wrought Iron,2.4
6.84,7.3,37.6,15.7,2.0,44.9,3.0,Open Hearth iron,6.92
9.7,6.0,33.0,6.35,2.3,47.1,3.0,Wrought Iron,6.26
13.2,5.3,33.1,1.5,6.9,40.3,1.5,Open Hearth iron,0.8
13.2,5.3,33.1,6.49,6.9,40.3,1.5,Wrought Iron,4.88
0.6,3.1,55.4,5.34,68.9,65.0,3.0,Open Hearth iron,5.79
82.9,4.4,22.2,9.94,12.0,26.5,1.5,Bessemer Steel,6.15
28.2,6.8,24.8,11.86,15.8,52.1,3.0,Bessemer Steel,4.63
66.73,5.45,22.16,3.9,7.09,17.73,3.04,Wrought Iron,3.77
12.71,4.18,34.57,1.9,26.68,71.08,2.93,Bessemer Steel,4.17
20.9,4.98,27.62,10.21,3.89,34.47,3.0,Open Hearth iron,3.09
74.4,5.6,24.2,6.1,7.5,15.3,3.0,Bessemer Steel,3.2
7.12,4.2,57.8,11.46,22.4,29.8,1.5,Bessemer Steel,31.43
31.9,7.1,12.4,8.0,33.5,12.8,1.5,Wrought Iron,1.4
21.31,4.39,34.13,7.6,3.66,63.82,3.03,Bessemer Steel,4.02
2.78,9.4,24.7,4.3,6.1,6.2,3.0,Wrought Iron,12.0
3.28,7.75,36.82,3.7,8.67,70.06,1.59,Wrought Iron,1.75
2.78,9.4,24.7,1.9,6.1,6.2,1.5,Bessemer Steel,7.8
177.9,4.8,29.1,7.89,18.2,46.1,1.5,Bessemer Steel,3.9
1.87,4.37,43.52,9.16,15.66,24.72,1.5,Bessemer Steel,4.84
110.0,5.3,32.0,7.01,15.5,53.1,3.0,Bessemer Steel,1.47
59.86,4.5,30.91,11.9,4.48,51.67,3.05,Wrought Iron,10.66
35.27,6.3,17.13,7.8,14.43,13.91,3.05,Bessemer Steel,3.38
4.08,6.8,24.6,7.7,2.5,62.6,1.5,Bessemer Steel,15.1
77.5,5.52,22.87,2.7,8.09,20.46,1.5,Open Hearth iron,1.71
9.7,6.0,33.0,8.19,2.3,47.1,3.0,Open Hearth iron,7.11
13.15,7.0,28.8,3.16,4.9,35.8,3.0,Bessemer Steel,1.65
0.6,3.1,55.4,12.0,68.9,65.0,3.0,Wrought Iron,14.1
74.4,5.6,24.2,8.18,7.5,15.3,3.0,Open Hearth iron,4.82
431.0,5.9,12.2,3.88,40.6,7.2,1.5,Open Hearth iron,0.65
2.9,9.5,21.7,4.72,34.5,9.4,1.5,Wrought Iron,7.4
14.98,7.08,7.8,1.5,23.19,30.87,3.09,Bessemer Steel,1.19
2.34,8.8,28.7,14.4,5.0,24.5,1.5,Bessemer Steel,35.2
